    10>D:\projects\misis2023f-23-check\misis2024s-23-04-popadina-v-a\prj.lab\bitset\bitset.cpp(70,12): warning C4834: discarding return value of function with [[nodiscard]] attribute [D:\projects\misis2023f-23-check\misis2024s-23-04-popadina-v-a\build.check\prj.lab\bitset\bitset.vcxproj]
D:\projects\misis2023f-23-check\misis2024s-23-04-popadina-v-a\prj.test\doctest.h(1474,5): warning C4805:         ] [D:\projects\misis2023f-23-check\misis2024s-23-04-popadina-v-a\build.check\prj.test\test_stackarrt.vcxproj]
D:\projects\misis2023f-23-check\misis2024s-23-04-popadina-v-a\prj.test\doctest.h(1474,5): warning C4805:         and [D:\projects\misis2023f-23-check\misis2024s-23-04-popadina-v-a\build.check\prj.test\test_stackarrt.vcxproj]
D:\projects\misis2023f-23-check\misis2024s-23-04-popadina-v-a\prj.test\doctest.h(1474,5): warning C4805:         [ [D:\projects\misis2023f-23-check\misis2024s-23-04-popadina-v-a\build.check\prj.test\test_stackarrt.vcxproj]
D:\projects\misis2023f-23-check\misis2024s-23-04-popadina-v-a\prj.test\doctest.h(1474,5): warning C4805:             R=bool [D:\projects\misis2023f-23-check\misis2024s-23-04-popadina-v-a\build.check\prj.test\test_stackarrt.vcxproj]
D:\projects\misis2023f-23-check\misis2024s-23-04-popadina-v-a\prj.test\doctest.h(1474,5): warning C4805:         ] [D:\projects\misis2023f-23-check\misis2024s-23-04-popadina-v-a\build.check\prj.test\test_stackarrt.vcxproj]
    37>D:\projects\misis2023f-23-check\misis2024s-23-04-popadina-v-a\prj.test\test_bitset.cpp(43,13): warning C4834: discarding return value of function with [[nodiscard]] attribute [D:\projects\misis2023f-23-check\misis2024s-23-04-popadina-v-a\build.check\prj.test\test_bitset.vcxproj]
    37>D:\projects\misis2023f-23-check\misis2024s-23-04-popadina-v-a\prj.test\test_bitset.cpp(52,13): warning C4834: discarding return value of function with [[nodiscard]] attribute [D:\projects\misis2023f-23-check\misis2024s-23-04-popadina-v-a\build.check\prj.test\test_bitset.vcxproj]
    37>D:\projects\misis2023f-23-check\misis2024s-23-04-popadina-v-a\prj.test\test_bitset.cpp(60,13): warning C4834: discarding return value of function with [[nodiscard]] attribute [D:\projects\misis2023f-23-check\misis2024s-23-04-popadina-v-a\build.check\prj.test\test_bitset.vcxproj]
    22>D:\projects\misis2023f-23-check\misis2024s-23-04-popadina-v-a\prj.check\prj.check\doctest_queuelstpr\doctest_queuelstpr.cpp(41,11): warning C4834: discarding return value of function with [[nodiscard]] attribute [D:\projects\misis2023f-23-check\misis2024s-23-04-popadina-v-a\build.check\prj.check\prj.check\doctest_queuelstpr\doctest_queuelstpr.vcxproj]
    22>D:\projects\misis2023f-23-check\misis2024s-23-04-popadina-v-a\prj.check\prj.check\doctest_queuelstpr\doctest_queuelstpr.cpp(99,12): warning C4834: discarding return value of function with [[nodiscard]] attribute [D:\projects\misis2023f-23-check\misis2024s-23-04-popadina-v-a\build.check\prj.check\prj.check\doctest_queuelstpr\doctest_queuelstpr.vcxproj]
    22>D:\projects\misis2023f-23-check\misis2024s-23-04-popadina-v-a\prj.check\prj.check\doctest_queuelstpr\doctest_queuelstpr.cpp(105,11): warning C4834: discarding return value of function with [[nodiscard]] attribute [D:\projects\misis2023f-23-check\misis2024s-23-04-popadina-v-a\build.check\prj.check\prj.check\doctest_queuelstpr\doctest_queuelstpr.vcxproj]
    22>D:\projects\misis2023f-23-check\misis2024s-23-04-popadina-v-a\prj.check\prj.check\doctest_queuelstpr\doctest_queuelstpr.cpp(112,11): warning C4834: discarding return value of function with [[nodiscard]] attribute [D:\projects\misis2023f-23-check\misis2024s-23-04-popadina-v-a\build.check\prj.check\prj.check\doctest_queuelstpr\doctest_queuelstpr.vcxproj]
    22>D:\projects\misis2023f-23-check\misis2024s-23-04-popadina-v-a\prj.check\prj.check\doctest_queuelstpr\doctest_queuelstpr.cpp(123,11): warning C4834: discarding return value of function with [[nodiscard]] attribute [D:\projects\misis2023f-23-check\misis2024s-23-04-popadina-v-a\build.check\prj.check\prj.check\doctest_queuelstpr\doctest_queuelstpr.vcxproj]
    41>D:\projects\misis2023f-23-check\misis2024s-23-04-popadina-v-a\prj.test\test_rational.cpp(156,5): warning C4834: discarding return value of function with [[nodiscard]] attribute [D:\projects\misis2023f-23-check\misis2024s-23-04-popadina-v-a\build.check\prj.test\test_rational.vcxproj]
    33>D:\projects\misis2023f-23-check\misis2024s-23-04-popadina-v-a\prj.check\prj.check\doctest_stacklst\doctest_stacklst.cpp(32,11): warning C4834: discarding return value of function with [[nodiscard]] attribute [D:\projects\misis2023f-23-check\misis2024s-23-04-popadina-v-a\build.check\prj.check\prj.check\doctest_stacklst\doctest_stacklst.vcxproj]
    33>D:\projects\misis2023f-23-check\misis2024s-23-04-popadina-v-a\prj.check\prj.check\doctest_stacklst\doctest_stacklst.cpp(61,12): warning C4834: discarding return value of function with [[nodiscard]] attribute [D:\projects\misis2023f-23-check\misis2024s-23-04-popadina-v-a\build.check\prj.check\prj.check\doctest_stacklst\doctest_stacklst.vcxproj]
    33>D:\projects\misis2023f-23-check\misis2024s-23-04-popadina-v-a\prj.check\prj.check\doctest_stacklst\doctest_stacklst.cpp(67,11): warning C4834: discarding return value of function with [[nodiscard]] attribute [D:\projects\misis2023f-23-check\misis2024s-23-04-popadina-v-a\build.check\prj.check\prj.check\doctest_stacklst\doctest_stacklst.vcxproj]
    33>D:\projects\misis2023f-23-check\misis2024s-23-04-popadina-v-a\prj.check\prj.check\doctest_stacklst\doctest_stacklst.cpp(74,11): warning C4834: discarding return value of function with [[nodiscard]] attribute [D:\projects\misis2023f-23-check\misis2024s-23-04-popadina-v-a\build.check\prj.check\prj.check\doctest_stacklst\doctest_stacklst.vcxproj]
    33>D:\projects\misis2023f-23-check\misis2024s-23-04-popadina-v-a\prj.check\prj.check\doctest_stacklst\doctest_stacklst.cpp(85,11): warning C4834: discarding return value of function with [[nodiscard]] attribute [D:\projects\misis2023f-23-check\misis2024s-23-04-popadina-v-a\build.check\prj.check\prj.check\doctest_stacklst\doctest_stacklst.vcxproj]
    23>D:\projects\misis2023f-23-check\misis2024s-23-04-popadina-v-a\prj.check\prj.check\doctest_stackarr\doctest_stackarr.cpp(33,11): warning C4834: discarding return value of function with [[nodiscard]] attribute [D:\projects\misis2023f-23-check\misis2024s-23-04-popadina-v-a\build.check\prj.check\prj.check\doctest_stackarr\doctest_stackarr.vcxproj]
    32>D:\projects\misis2023f-23-check\misis2024s-23-04-popadina-v-a\prj.check\prj.check\doctest_stacklst\doctest_stacklst_moveable.cpp(21,6): warning C4834: discarding return value of function with [[nodiscard]] attribute [D:\projects\misis2023f-23-check\misis2024s-23-04-popadina-v-a\build.check\prj.check\prj.check\doctest_stacklst\doctest_stacklst_m.vcxproj]
    23>D:\projects\misis2023f-23-check\misis2024s-23-04-popadina-v-a\prj.check\prj.check\doctest_stackarr\doctest_stackarr.cpp(62,12): warning C4834: discarding return value of function with [[nodiscard]] attribute [D:\projects\misis2023f-23-check\misis2024s-23-04-popadina-v-a\build.check\prj.check\prj.check\doctest_stackarr\doctest_stackarr.vcxproj]
    23>D:\projects\misis2023f-23-check\misis2024s-23-04-popadina-v-a\prj.check\prj.check\doctest_stackarr\doctest_stackarr.cpp(68,11): warning C4834: discarding return value of function with [[nodiscard]] attribute [D:\projects\misis2023f-23-check\misis2024s-23-04-popadina-v-a\build.check\prj.check\prj.check\doctest_stackarr\doctest_stackarr.vcxproj]
    23>D:\projects\misis2023f-23-check\misis2024s-23-04-popadina-v-a\prj.check\prj.check\doctest_stackarr\doctest_stackarr.cpp(75,11): warning C4834: discarding return value of function with [[nodiscard]] attribute [D:\projects\misis2023f-23-check\misis2024s-23-04-popadina-v-a\build.check\prj.check\prj.check\doctest_stackarr\doctest_stackarr.vcxproj]
    18>D:\projects\misis2023f-23-check\misis2024s-23-04-popadina-v-a\prj.check\prj.check\doctest_queuearr\doctest_queuearr.cpp(58,11): warning C4834: discarding return value of function with [[nodiscard]] attribute [D:\projects\misis2023f-23-check\misis2024s-23-04-popadina-v-a\build.check\prj.check\prj.check\doctest_queuearr\doctest_queuearr.vcxproj]
    18>D:\projects\misis2023f-23-check\misis2024s-23-04-popadina-v-a\prj.check\prj.check\doctest_queuearr\doctest_queuearr.cpp(116,12): warning C4834: discarding return value of function with [[nodiscard]] attribute [D:\projects\misis2023f-23-check\misis2024s-23-04-popadina-v-a\build.check\prj.check\prj.check\doctest_queuearr\doctest_queuearr.vcxproj]
    18>D:\projects\misis2023f-23-check\misis2024s-23-04-popadina-v-a\prj.check\prj.check\doctest_queuearr\doctest_queuearr.cpp(122,11): warning C4834: discarding return value of function with [[nodiscard]] attribute [D:\projects\misis2023f-23-check\misis2024s-23-04-popadina-v-a\build.check\prj.check\prj.check\doctest_queuearr\doctest_queuearr.vcxproj]
    18>D:\projects\misis2023f-23-check\misis2024s-23-04-popadina-v-a\prj.check\prj.check\doctest_queuearr\doctest_queuearr.cpp(129,11): warning C4834: discarding return value of function with [[nodiscard]] attribute [D:\projects\misis2023f-23-check\misis2024s-23-04-popadina-v-a\build.check\prj.check\prj.check\doctest_queuearr\doctest_queuearr.vcxproj]
    18>D:\projects\misis2023f-23-check\misis2024s-23-04-popadina-v-a\prj.check\prj.check\doctest_queuearr\doctest_queuearr.cpp(140,11): warning C4834: discarding return value of function with [[nodiscard]] attribute [D:\projects\misis2023f-23-check\misis2024s-23-04-popadina-v-a\build.check\prj.check\prj.check\doctest_queuearr\doctest_queuearr.vcxproj]
    32>D:\projects\misis2023f-23-check\misis2024s-23-04-popadina-v-a\prj.check\prj.check\doctest_t.hpp(71,13): warning C4834: discarding return value of function with [[nodiscard]] attribute [D:\projects\misis2023f-23-check\misis2024s-23-04-popadina-v-a\build.check\prj.check\prj.check\doctest_stacklst\doctest_stacklst_m.vcxproj]
    17>D:\projects\misis2023f-23-check\misis2024s-23-04-popadina-v-a\prj.check\prj.check\doctest_t.hpp(71,13): warning C4834: discarding return value of function with [[nodiscard]] attribute [D:\projects\misis2023f-23-check\misis2024s-23-04-popadina-v-a\build.check\prj.check\prj.check\doctest_queuearr\doctest_queuearr_m.vcxproj]
    32>D:\projects\misis2023f-23-check\misis2024s-23-04-popadina-v-a\prj.check\prj.check\doctest_t.hpp(85,13): warning C4834: discarding return value of function with [[nodiscard]] attribute [D:\projects\misis2023f-23-check\misis2024s-23-04-popadina-v-a\build.check\prj.check\prj.check\doctest_stacklst\doctest_stacklst_m.vcxproj]
    17>D:\projects\misis2023f-23-check\misis2024s-23-04-popadina-v-a\prj.check\prj.check\doctest_t.hpp(85,13): warning C4834: discarding return value of function with [[nodiscard]] attribute [D:\projects\misis2023f-23-check\misis2024s-23-04-popadina-v-a\build.check\prj.check\prj.check\doctest_queuearr\doctest_queuearr_m.vcxproj]
    31>D:\projects\misis2023f-23-check\misis2024s-23-04-popadina-v-a\prj.check\prj.check\doctest_t.hpp(71,13): warning C4834: discarding return value of function with [[nodiscard]] attribute [D:\projects\misis2023f-23-check\misis2024s-23-04-popadina-v-a\build.check\prj.check\prj.check\doctest_stackarr\doctest_stackarr_m.vcxproj]
    31>D:\projects\misis2023f-23-check\misis2024s-23-04-popadina-v-a\prj.check\prj.check\doctest_t.hpp(85,13): warning C4834: discarding return value of function with [[nodiscard]] attribute [D:\projects\misis2023f-23-check\misis2024s-23-04-popadina-v-a\build.check\prj.check\prj.check\doctest_stackarr\doctest_stackarr_m.vcxproj]
    36>D:\projects\misis2023f-23-check\misis2024s-23-04-popadina-v-a\prj.test\doctest.h(1474,5): warning C4805: '==': unsafe mix of type 'const L' and type 'const R' in operation [D:\projects\misis2023f-23-check\misis2024s-23-04-popadina-v-a\build.check\prj.test\test_queuelst.vcxproj]
D:\projects\misis2023f-23-check\misis2024s-23-04-popadina-v-a\prj.test\doctest.h(1474,5): warning C4805:         with [D:\projects\misis2023f-23-check\misis2024s-23-04-popadina-v-a\build.check\prj.test\test_queuelst.vcxproj]
D:\projects\misis2023f-23-check\misis2024s-23-04-popadina-v-a\prj.test\doctest.h(1474,5): warning C4805:         [ [D:\projects\misis2023f-23-check\misis2024s-23-04-popadina-v-a\build.check\prj.test\test_queuelst.vcxproj]
D:\projects\misis2023f-23-check\misis2024s-23-04-popadina-v-a\prj.test\doctest.h(1474,5): warning C4805:             L=int [D:\projects\misis2023f-23-check\misis2024s-23-04-popadina-v-a\build.check\prj.test\test_queuelst.vcxproj]
D:\projects\misis2023f-23-check\misis2024s-23-04-popadina-v-a\prj.test\doctest.h(1474,5): warning C4805:         ] [D:\projects\misis2023f-23-check\misis2024s-23-04-popadina-v-a\build.check\prj.test\test_queuelst.vcxproj]
D:\projects\misis2023f-23-check\misis2024s-23-04-popadina-v-a\prj.test\doctest.h(1474,5): warning C4805:         and [D:\projects\misis2023f-23-check\misis2024s-23-04-popadina-v-a\build.check\prj.test\test_queuelst.vcxproj]
D:\projects\misis2023f-23-check\misis2024s-23-04-popadina-v-a\prj.test\doctest.h(1474,5): warning C4805:         [ [D:\projects\misis2023f-23-check\misis2024s-23-04-popadina-v-a\build.check\prj.test\test_queuelst.vcxproj]
D:\projects\misis2023f-23-check\misis2024s-23-04-popadina-v-a\prj.test\doctest.h(1474,5): warning C4805:             R=bool [D:\projects\misis2023f-23-check\misis2024s-23-04-popadina-v-a\build.check\prj.test\test_queuelst.vcxproj]
D:\projects\misis2023f-23-check\misis2024s-23-04-popadina-v-a\prj.test\doctest.h(1474,5): warning C4805:         ] [D:\projects\misis2023f-23-check\misis2024s-23-04-popadina-v-a\build.check\prj.test\test_queuelst.vcxproj]
    25>D:\projects\misis2023f-23-check\misis2024s-23-04-popadina-v-a\prj.check\prj.check\doctest_t.hpp(71,13): warning C4834: discarding return value of function with [[nodiscard]] attribute [D:\projects\misis2023f-23-check\misis2024s-23-04-popadina-v-a\build.check\prj.check\prj.check\doctest_queuelst\doctest_queuelst_m.vcxproj]
    20>D:\projects\misis2023f-23-check\misis2024s-23-04-popadina-v-a\prj.check\prj.check\doctest_queuelst\doctest_queuelst.cpp(32,11): warning C4834: discarding return value of function with [[nodiscard]] attribute [D:\projects\misis2023f-23-check\misis2024s-23-04-popadina-v-a\build.check\prj.check\prj.check\doctest_queuelst\doctest_queuelst.vcxproj]
    20>D:\projects\misis2023f-23-check\misis2024s-23-04-popadina-v-a\prj.check\prj.check\doctest_queuelst\doctest_queuelst.cpp(90,12): warning C4834: discarding return value of function with [[nodiscard]] attribute [D:\projects\misis2023f-23-check\misis2024s-23-04-popadina-v-a\build.check\prj.check\prj.check\doctest_queuelst\doctest_queuelst.vcxproj]
    20>D:\projects\misis2023f-23-check\misis2024s-23-04-popadina-v-a\prj.check\prj.check\doctest_queuelst\doctest_queuelst.cpp(96,11): warning C4834: discarding return value of function with [[nodiscard]] attribute [D:\projects\misis2023f-23-check\misis2024s-23-04-popadina-v-a\build.check\prj.check\prj.check\doctest_queuelst\doctest_queuelst.vcxproj]
    20>D:\projects\misis2023f-23-check\misis2024s-23-04-popadina-v-a\prj.check\prj.check\doctest_queuelst\doctest_queuelst.cpp(103,11): warning C4834: discarding return value of function with [[nodiscard]] attribute [D:\projects\misis2023f-23-check\misis2024s-23-04-popadina-v-a\build.check\prj.check\prj.check\doctest_queuelst\doctest_queuelst.vcxproj]
    20>D:\projects\misis2023f-23-check\misis2024s-23-04-popadina-v-a\prj.check\prj.check\doctest_queuelst\doctest_queuelst.cpp(114,11): warning C4834: discarding return value of function with [[nodiscard]] attribute [D:\projects\misis2023f-23-check\misis2024s-23-04-popadina-v-a\build.check\prj.check\prj.check\doctest_queuelst\doctest_queuelst.vcxproj]
